name,parent
They Shoot Pictures Don't They?,
English,They Shoot Pictures Don't They?
Foreign,They Shoot Pictures Don't They?
English | Average (100-130 mins),English
English | Long (130+ mins),English
English | Short (100 mins or less),English
Foreign | Average (100-130 mins),Foreign
Foreign | Long (130+ mins),Foreign
Foreign | Short (100 mins or less),Foreign
English | Average (100-130 mins) | Pre-1950,English | Average (100-130 mins)
English | Average (100-130 mins) | 1950-1990,English | Average (100-130 mins)
English | Average (100-130 mins) | 1990-Now,English | Average (100-130 mins)
English | Long (130+ mins) | Pre-1950,English | Long (130+ mins)
English | Long (130+ mins) | 1950-1990,English | Long (130+ mins)
English | Long (130+ mins) | 1990-Now,English | Long (130+ mins)
English | Short (100 mins or less) | Pre-1950,English | Short (100 mins or less)
English | Short (100 mins or less) | 1950-1990,English | Short (100 mins or less)
English | Short (100 mins or less) | 1990-Now,English | Short (100 mins or less)
Foreign | Average (100-130 mins) | Pre-1950,Foreign | Average (100-130 mins)
Foreign | Average (100-130 mins) | 1950-1990,Foreign | Average (100-130 mins)
Foreign | Average (100-130 mins) | 1990-Now,Foreign | Average (100-130 mins)
Foreign | Long (130+ mins) | Pre-1950,Foreign | Long (130+ mins)
Foreign | Long (130+ mins) | 1950-1990,Foreign | Long (130+ mins)
Foreign | Long (130+ mins) | 1990-Now,Foreign | Long (130+ mins)
Foreign | Short (100 mins or less) | Pre-1950,Foreign | Short (100 mins or less)
Foreign | Short (100 mins or less) | 1950-1990,Foreign | Short (100 mins or less)
Foreign | Short (100 mins or less) | 1990-Now,Foreign | Short (100 mins or less)
English | Average (100-130 mins) | Pre-1950 | Adventure,English | Average (100-130 mins) | Pre-1950
English | Average (100-130 mins) | Pre-1950 | Comedy,English | Average (100-130 mins) | Pre-1950
English | Average (100-130 mins) | Pre-1950 | Crime,English | Average (100-130 mins) | Pre-1950
English | Average (100-130 mins) | Pre-1950 | Drama,English | Average (100-130 mins) | Pre-1950
English | Average (100-130 mins) | Pre-1950 | Fantasy,English | Average (100-130 mins) | Pre-1950
English | Average (100-130 mins) | Pre-1950 | History,English | Average (100-130 mins) | Pre-1950
English | Average (100-130 mins) | Pre-1950 | Musical,English | Average (100-130 mins) | Pre-1950
English | Average (100-130 mins) | Pre-1950 | Mystery,English | Average (100-130 mins) | Pre-1950
English | Average (100-130 mins) | Pre-1950 | Political,English | Average (100-130 mins) | Pre-1950
English | Average (100-130 mins) | Pre-1950 | Romance,English | Average (100-130 mins) | Pre-1950
English | Average (100-130 mins) | Pre-1950 | Thriller,English | Average (100-130 mins) | Pre-1950
English | Average (100-130 mins) | Pre-1950 | War,English | Average (100-130 mins) | Pre-1950
English | Average (100-130 mins) | Pre-1950 | Western,English | Average (100-130 mins) | Pre-1950
English | Average (100-130 mins) | 1950-1990 | Action,English | Average (100-130 mins) | 1950-1990
English | Average (100-130 mins) | 1950-1990 | Adventure,English | Average (100-130 mins) | 1950-1990
English | Average (100-130 mins) | 1950-1990 | Biography,English | Average (100-130 mins) | 1950-1990
English | Average (100-130 mins) | 1950-1990 | Comedy,English | Average (100-130 mins) | 1950-1990
English | Average (100-130 mins) | 1950-1990 | Crime,English | Average (100-130 mins) | 1950-1990
English | Average (100-130 mins) | 1950-1990 | Documentary,English | Average (100-130 mins) | 1950-1990
English | Average (100-130 mins) | 1950-1990 | Drama,English | Average (100-130 mins) | 1950-1990
English | Average (100-130 mins) | 1950-1990 | History,English | Average (100-130 mins) | 1950-1990
English | Average (100-130 mins) | 1950-1990 | Horror,English | Average (100-130 mins) | 1950-1990
English | Average (100-130 mins) | 1950-1990 | Musical,English | Average (100-130 mins) | 1950-1990
English | Average (100-130 mins) | 1950-1990 | Mystery,English | Average (100-130 mins) | 1950-1990
English | Average (100-130 mins) | 1950-1990 | Political,English | Average (100-130 mins) | 1950-1990
English | Average (100-130 mins) | 1950-1990 | Prison,English | Average (100-130 mins) | 1950-1990
English | Average (100-130 mins) | 1950-1990 | Romance,English | Average (100-130 mins) | 1950-1990
English | Average (100-130 mins) | 1950-1990 | Science Fiction,English | Average (100-130 mins) | 1950-1990
English | Average (100-130 mins) | 1950-1990 | Sport,English | Average (100-130 mins) | 1950-1990
English | Average (100-130 mins) | 1950-1990 | Thriller,English | Average (100-130 mins) | 1950-1990
English | Average (100-130 mins) | 1950-1990 | War,English | Average (100-130 mins) | 1950-1990
English | Average (100-130 mins) | 1950-1990 | Western,English | Average (100-130 mins) | 1950-1990
English | Average (100-130 mins) | 1990-Now | Action,English | Average (100-130 mins) | 1990-Now
English | Average (100-130 mins) | 1990-Now | Comedy,English | Average (100-130 mins) | 1990-Now
English | Average (100-130 mins) | 1990-Now | Crime,English | Average (100-130 mins) | 1990-Now
English | Average (100-130 mins) | 1990-Now | Documentary,English | Average (100-130 mins) | 1990-Now
English | Average (100-130 mins) | 1990-Now | Drama,English | Average (100-130 mins) | 1990-Now
English | Average (100-130 mins) | 1990-Now | Musical,English | Average (100-130 mins) | 1990-Now
English | Average (100-130 mins) | 1990-Now | Romance,English | Average (100-130 mins) | 1990-Now
English | Average (100-130 mins) | 1990-Now | Science Fiction,English | Average (100-130 mins) | 1990-Now
English | Average (100-130 mins) | 1990-Now | Thriller,English | Average (100-130 mins) | 1990-Now
English | Average (100-130 mins) | 1990-Now | Western,English | Average (100-130 mins) | 1990-Now
English | Long (130+ mins) | Pre-1950 | Dance,English | Long (130+ mins) | Pre-1950
English | Long (130+ mins) | Pre-1950 | Drama,English | Long (130+ mins) | Pre-1950
English | Long (130+ mins) | Pre-1950 | History,English | Long (130+ mins) | Pre-1950
English | Long (130+ mins) | Pre-1950 | War,English | Long (130+ mins) | Pre-1950
English | Long (130+ mins) | Pre-1950 | Western,English | Long (130+ mins) | Pre-1950
English | Long (130+ mins) | 1950-1990 | Adventure,English | Long (130+ mins) | 1950-1990
English | Long (130+ mins) | 1950-1990 | Biography,English | Long (130+ mins) | 1950-1990
English | Long (130+ mins) | 1950-1990 | Comedy,English | Long (130+ mins) | 1950-1990
English | Long (130+ mins) | 1950-1990 | Crime,English | Long (130+ mins) | 1950-1990
English | Long (130+ mins) | 1950-1990 | Documentary,English | Long (130+ mins) | 1950-1990
English | Long (130+ mins) | 1950-1990 | Drama,English | Long (130+ mins) | 1950-1990
English | Long (130+ mins) | 1950-1990 | Fantasy,English | Long (130+ mins) | 1950-1990
English | Long (130+ mins) | 1950-1990 | History,English | Long (130+ mins) | 1950-1990
English | Long (130+ mins) | 1950-1990 | Horror,English | Long (130+ mins) | 1950-1990
English | Long (130+ mins) | 1950-1990 | Musical,English | Long (130+ mins) | 1950-1990
English | Long (130+ mins) | 1950-1990 | Mystery,English | Long (130+ mins) | 1950-1990
English | Long (130+ mins) | 1950-1990 | Political,English | Long (130+ mins) | 1950-1990
English | Long (130+ mins) | 1950-1990 | Religious,English | Long (130+ mins) | 1950-1990
English | Long (130+ mins) | 1950-1990 | Romance,English | Long (130+ mins) | 1950-1990
English | Long (130+ mins) | 1950-1990 | Science Fiction,English | Long (130+ mins) | 1950-1990
English | Long (130+ mins) | 1950-1990 | Sport,English | Long (130+ mins) | 1950-1990
English | Long (130+ mins) | 1950-1990 | Thriller,English | Long (130+ mins) | 1950-1990
English | Long (130+ mins) | 1950-1990 | War,English | Long (130+ mins) | 1950-1990
English | Long (130+ mins) | 1950-1990 | Western,English | Long (130+ mins) | 1950-1990
English | Long (130+ mins) | 1950-1990 | Avant-Garde,English | Long (130+ mins) | 1950-1990
